XP,YP,ZP,PID
762885.02880859,9252126.26916504,3750.006,1
762885.21777344,9252119.33355713,3750.006,2
762885.40258789,9252134.715271,3750.006,3
762885.81762695,9252113.5010376,3750.006,4
762886.49035645,9252145.07885742,3750.006,5
762886.65637207,9252199.0345459,3750.006,6
762886.67687988,9252108.36437988,3750.006,7
762886.73095703,9252193.16412354,3750.006,8
762887.46130371,9252187.70629883,3750.006,9
762887.64453125,9252103.51647949,3750.006,10
762887.66247559,9252205.92858887,3750.006,11
762887.78662109,9252128.49182129,3740,12
762887.80163574,9252124.66333008,3740,13
762888.01733398,9252132.26446533,3740,14
762888.07543945,9252120.75860596,3740,15
762888.42272949,9252182.04925537,3750.006,16
762888.44348145,9252157.76727295,3750.006,17
762888.48156738,9252136.00201416,3740,18
762888.56860352,9252098.5501709,3750.006,19
762888.62255859,9252116.75665283,3740,20
762889.16772461,9252139.72418213,3740,21
762889.19006348,9252175.58129883,3750.006,22
762889.29785156,9252093.05786133,3750.006,23
762889.33862305,9252167.69104004,3750.006,24
762889.45776367,9252112.63726807,3740,25
762889.56604004,9252078.86694336,3750.006,26
762889.68078613,9252086.63244629,3750.006,27
762889.80334473,9252199.125,3740,28
762889.84362793,9252201.83538818,3740,29
762889.87390137,9252196.05169678,3740,30
762889.90600586,9252071.72454834,3750.006,31
762890.06469727,9252143.44946289,3740,32
762890.08105469,9252203.71435547,3740,33
762890.1451416,9252192.9666748,3740,34
762890.17419434,9252214.45800781,3750.006,35
762890.46643066,9252128.41522217,3730,36
762890.48071289,9252124.76239014,3730,37
762890.48657227,9252205.33123779,3740,38
762890.56323242,9252189.70941162,3740,39
762890.59692383,9252108.38140869,3740,40
762890.68676758,9252132.01733398,3730,41
762890.7421875,9252121.03411865,3730,42
762890.80322266,9252064.94335938,3750.006,43
762891.06738281,9252186.1930542,3740,44
762891.13085938,9252135.59362793,3730,45
762891.17480469,9252207.20758057,3740,46
762891.24475098,9252147.48083496,3740,47
762891.26574707,9252117.20477295,3730,48
762891.59094238,9252182.33728027,3740,49
762891.6295166,9252071.52703857,3740,50
762891.69274902,9252074.38909912,3740,51
762891.78979492,9252139.16729736,3730,52
762891.80993652,9252068.90551758,3740,53
762892.06396484,9252178.06439209,3740,54
762892.06750488,9252113.25048828,3730,55
762892.06848145,9252155.22601318,3740,56
762892.1159668,9252078.48388672,3740,57
762892.18371582,9252103.58544922,3740,58
762892.2376709,9252066.27386475,3740,59
762892.29711914,9252209.70031738,3740,60
762892.41638184,9252173.29736328,3740,61
762892.46875,9252058.21099854,3750.006,62
762892.48327637,9252199.13586426,3730,63
762892.48522949,9252161.96112061,3740,64
762892.52062988,9252201.64691162,3730,65
762892.54541016,9252085.37774658,3740,66
762892.55065918,9252196.19995117,3730,67
762892.5793457,9252167.95684814,3740,68
762892.61303711,9252097.6050415,3740,69
762892.65454102,9252142.75909424,3730,70
762892.71838379,9252091.6607666,3740,71
762892.71923828,9252203.21862793,3730,72
762892.80957031,9252193.25469971,3730,73
762892.96020508,9252063.39733887,3740,74
762893.05114746,9252204.54180908,3730,75
762893.1652832,9252109.14929199,3730,76
762893.21850586,9252190.07012939,3730,77
762893.6574707,9252206.19494629,3730,78
762893.72119141,9252186.56347656,3730,79
762893.88378906,9252146.95861816,3730,80
762893.90063477,9252212.98358154,3740,81
762894.04174805,9252060.09680176,3740,82
762894.25048828,9252182.66503906,3730,83
762894.31103516,9252071.58959961,3730,84
762894.36914063,9252074.22149658,3730,85
762894.47460938,9252069.21307373,3730,86
762894.72314453,9252208.56207275,3730,87
762894.73254395,9252178.31066895,3730,88
762894.73925781,9252155.00146484,3730,89
762894.78686523,9252078.26275635,3730,90
762894.83239746,9252104.11022949,3730,91
762894.86425781,9252066.81616211,3730,92
762895.09289551,9252173.43707275,3730,93
762895.1138916,9252051.21514893,3750.006,94
762895.16345215,9252161.8572998,3730,95
762895.22265625,9252085.25756836,3730,96
762895.25952148,9252167.97668457,3730,97
762895.29089355,9252097.72479248,3730,98
762895.3984375,9252091.64764404,3730,99
762895.5324707,9252056.25164795,3740,100
762895.53601074,9252064.1418457,3730,101
762895.91955566,9252217.1427002,3740,102
762896.30969238,9252211.81054688,3730,103
762896.5657959,9252060.99890137,3730,104
762897.45629883,9252051.77734375,3740,105
762897.85351563,9252228.28466797,3750.006,106
762898.01330566,9252057.26550293,3730,107
762898.24414063,9252222.25152588,3740,108
762898.34472656,9252216.00262451,3730,109
762898.9498291,9252043.64361572,3750.006,110
762899.66760254,9252128.15216064,3730,111
762899.67944336,9252125.1026001,3730,112
762899.76098633,9252046.72167969,3740,113
762899.85205078,9252131.16876221,3730,114
762899.8984375,9252121.9800415,3730,115
762899.90649414,9252052.86236572,3730,116
762900.22741699,9252134.19146729,3730,117
762900.28417969,9252227.21453857,3740,118
762900.34094238,9252118.74346924,3730,119
762900.70361328,9252221.18695068,3730,120
762900.79223633,9252137.25512695,3730,121
762901.02783203,9252115.35595703,3730,122
762901.54663086,9252140.38861084,3730,123
762901.68481445,9252199.1730957,3730,124
762901.71203613,9252200.99975586,3730,125
762901.74145508,9252196.70892334,3730,126
762901.77734375,9252201.5166626,3730,127
762901.85620117,9252201.83123779,3730,128
762901.95825195,9252194.24365234,3730,129
762901.98339844,9252111.7857666,3730,130
762902.13952637,9252047.96386719,3730,131
762902.18151855,9252202.71820068,3730,132
762902.33496094,9252191.30865479,3730,133
762902.34741211,9252128.07556152,3720,134
762902.35864258,9252125.20166016,3720,135
762902.5213623,9252130.92163086,3720,136
762902.56518555,9252122.2555542,3720,137
762902.69335938,9252226.02764893,3730,138
762902.83288574,9252187.83520508,3730,139
762902.87670898,9252133.78308105,3720,140
762902.94494629,9252145.16546631,3730,141
762902.98413086,9252119.19158936,3720,142
762903.05297852,9252204.65393066,3730,143
762903.38208008,9252183.7902832,3730,144
762903.41418457,9252136.69818115,3720,145
