PID1,PID2,PID3,TRIANGLE,COLOUR,THICKNESS,ANGLE,LAYERS,LSTYLE,LINK,DTMERROR,Surveyor,Survey_Date,Survey_Name,Pit
1,13,2,1,2,-,-,road_ramp,0,1,-,Reyes J,45100,2023-06-23,Ezperanza
1,3,12,2,2,-,-,road_ramp,0,1,-,Reyes J,45100,2023-06-23,Ezperanza
1,12,13,3,2,-,-,road_ramp,0,1,-,Reyes J,45100,2023-06-23,Ezperanza
2,20,4,4,2,-,-,road_ramp,0,1,-,Reyes J,45100,2023-06-23,Ezperanza
2,13,15,5,2,-,-,road_ramp,0,1,-,Reyes J,45100,2023-06-23,Ezperanza
2,15,20,6,2,-,-,road_ramp,0,1,-,Reyes J,45100,2023-06-23,Ezperanza
3,5,21,7,2,-,-,road_ramp,0,1,-,Reyes J,45100,2023-06-23,Ezperanza
3,14,12,8,2,-,-,road_ramp,0,1,-,Reyes J,45100,2023-06-23,Ezperanza
3,18,14,9,2,-,-,road_ramp,0,1,-,Reyes J,45100,2023-06-23,Ezperanza
3,21,18,10,2,-,-,road_ramp,0,1,-,Reyes J,45100,2023-06-23,Ezperanza
4,25,7,11,2,-,-,road_ramp,0,1,-,Reyes J,45100,2023-06-23,Ezperanza
4,20,25,12,2,-,-,road_ramp,0,1,-,Reyes J,45100,2023-06-23,Ezperanza
5,17,47,13,2,-,-,road_ramp,0,1,-,Reyes J,45100,2023-06-23,Ezperanza
5,32,21,14,2,-,-,road_ramp,0,1,-,Reyes J,45100,2023-06-23,Ezperanza
5,47,32,15,2,-,-,road_ramp,0,1,-,Reyes J,45100,2023-06-23,Ezperanza
6,30,8,16,2,-,-,road_ramp,0,1,-,Reyes J,45100,2023-06-23,Ezperanza
6,11,29,17,2,-,-,road_ramp,0,1,-,Reyes J,45100,2023-06-23,Ezperanza
6,29,28,18,2,-,-,road_ramp,0,1,-,Reyes J,45100,2023-06-23,Ezperanza
6,28,30,19,2,-,-,road_ramp,0,1,-,Reyes J,45100,2023-06-23,Ezperanza
7,40,10,20,2,-,-,road_ramp,0,1,-,Reyes J,45100,2023-06-23,Ezperanza
7,25,40,21,2,-,-,road_ramp,0,1,-,Reyes J,45100,2023-06-23,Ezperanza
8,39,9,22,2,-,-,road_ramp,0,1,-,Reyes J,45100,2023-06-23,Ezperanza
8,30,34,23,2,-,-,road_ramp,0,1,-,Reyes J,45100,2023-06-23,Ezperanza
8,34,39,24,2,-,-,road_ramp,0,1,-,Reyes J,45100,2023-06-23,Ezperanza
9,44,16,25,2,-,-,road_ramp,0,1,-,Reyes J,45100,2023-06-23,Ezperanza
9,39,44,26,2,-,-,road_ramp,0,1,-,Reyes J,45100,2023-06-23,Ezperanza
10,58,19,27,2,-,-,road_ramp,0,1,-,Reyes J,45100,2023-06-23,Ezperanza
10,40,58,28,2,-,-,road_ramp,0,1,-,Reyes J,45100,2023-06-23,Ezperanza
11,33,29,29,2,-,-,road_ramp,0,1,-,Reyes J,45100,2023-06-23,Ezperanza
11,38,33,30,2,-,-,road_ramp,0,1,-,Reyes J,45100,2023-06-23,Ezperanza
11,35,60,31,2,-,-,road_ramp,0,1,-,Reyes J,45100,2023-06-23,Ezperanza
11,46,38,32,2,-,-,road_ramp,0,1,-,Reyes J,45100,2023-06-23,Ezperanza
11,60,46,33,2,-,-,road_ramp,0,1,-,Reyes J,45100,2023-06-23,Ezperanza
12,37,13,34,2,-,-,road_ramp,0,1,-,Reyes J,45100,2023-06-23,Ezperanza
12,14,36,35,2,-,-,road_ramp,0,1,-,Reyes J,45100,2023-06-23,Ezperanza
12,36,37,36,2,-,-,road_ramp,0,1,-,Reyes J,45100,2023-06-23,Ezperanza
13,37,15,37,2,-,-,road_ramp,0,1,-,Reyes J,45100,2023-06-23,Ezperanza
14,18,41,38,2,-,-,road_ramp,0,1,-,Reyes J,45100,2023-06-23,Ezperanza
14,41,36,39,2,-,-,road_ramp,0,1,-,Reyes J,45100,2023-06-23,Ezperanza
15,42,20,40,2,-,-,road_ramp,0,1,-,Reyes J,45100,2023-06-23,Ezperanza
15,37,42,41,2,-,-,road_ramp,0,1,-,Reyes J,45100,2023-06-23,Ezperanza
16,54,22,42,2,-,-,road_ramp,0,1,-,Reyes J,45100,2023-06-23,Ezperanza
16,44,49,43,2,-,-,road_ramp,0,1,-,Reyes J,45100,2023-06-23,Ezperanza
16,49,54,44,2,-,-,road_ramp,0,1,-,Reyes J,45100,2023-06-23,Ezperanza
17,24,64,45,2,-,-,road_ramp,0,1,-,Reyes J,45100,2023-06-23,Ezperanza
17,56,47,46,2,-,-,road_ramp,0,1,-,Reyes J,45100,2023-06-23,Ezperanza
17,64,56,47,2,-,-,road_ramp,0,1,-,Reyes J,45100,2023-06-23,Ezperanza
18,21,45,48,2,-,-,road_ramp,0,1,-,Reyes J,45100,2023-06-23,Ezperanza
18,45,41,49,2,-,-,road_ramp,0,1,-,Reyes J,45100,2023-06-23,Ezperanza
19,69,23,50,2,-,-,road_ramp,0,1,-,Reyes J,45100,2023-06-23,Ezperanza
19,58,69,51,2,-,-,road_ramp,0,1,-,Reyes J,45100,2023-06-23,Ezperanza
20,48,25,52,2,-,-,road_ramp,0,1,-,Reyes J,45100,2023-06-23,Ezperanza
20,42,48,53,2,-,-,road_ramp,0,1,-,Reyes J,45100,2023-06-23,Ezperanza
21,32,52,54,2,-,-,road_ramp,0,1,-,Reyes J,45100,2023-06-23,Ezperanza
21,52,45,55,2,-,-,road_ramp,0,1,-,Reyes J,45100,2023-06-23,Ezperanza
22,61,24,56,2,-,-,road_ramp,0,1,-,Reyes J,45100,2023-06-23,Ezperanza
22,54,61,57,2,-,-,road_ramp,0,1,-,Reyes J,45100,2023-06-23,Ezperanza
23,71,27,58,2,-,-,road_ramp,0,1,-,Reyes J,45100,2023-06-23,Ezperanza
23,69,71,59,2,-,-,road_ramp,0,1,-,Reyes J,45100,2023-06-23,Ezperanza
24,61,68,60,2,-,-,road_ramp,0,1,-,Reyes J,45100,2023-06-23,Ezperanza
24,68,64,61,2,-,-,road_ramp,0,1,-,Reyes J,45100,2023-06-23,Ezperanza
25,55,40,62,2,-,-,road_ramp,0,1,-,Reyes J,45100,2023-06-23,Ezperanza
25,48,55,63,2,-,-,road_ramp,0,1,-,Reyes J,45100,2023-06-23,Ezperanza
26,27,66,64,2,-,-,road_ramp,0,1,-,Reyes J,45100,2023-06-23,Ezperanza
26,51,31,65,2,-,-,road_ramp,0,1,-,Reyes J,45100,2023-06-23,Ezperanza
26,57,51,66,2,-,-,road_ramp,0,1,-,Reyes J,45100,2023-06-23,Ezperanza
26,66,57,67,2,-,-,road_ramp,0,1,-,Reyes J,45100,2023-06-23,Ezperanza
27,71,66,68,2,-,-,road_ramp,0,1,-,Reyes J,45100,2023-06-23,Ezperanza
28,29,65,69,2,-,-,road_ramp,0,1,-,Reyes J,45100,2023-06-23,Ezperanza
28,67,30,70,2,-,-,road_ramp,0,1,-,Reyes J,45100,2023-06-23,Ezperanza
28,65,63,71,2,-,-,road_ramp,0,1,-,Reyes J,45100,2023-06-23,Ezperanza
28,63,67,72,2,-,-,road_ramp,0,1,-,Reyes J,45100,2023-06-23,Ezperanza
29,33,72,73,2,-,-,road_ramp,0,1,-,Reyes J,45100,2023-06-23,Ezperanza
