PID1,PID2,PID3,TRIANGLE,GROUP,COLOUR,SURFACE,INSIDE,LSTYLE,SYMBOL,Elevatio,LINK,PIT,TOPO
2699,1,2698,1,1,4,1,1,1001,201,-,1,-,-
2699,2698,2,2,1,4,1,1,1001,201,-,1,-,-
2733,2699,2,3,1,4,1,1,1001,201,-,1,-,-
3,2699,2733,4,1,4,1,1,1001,201,-,1,-,-
8,2,4,5,1,4,1,1,1001,201,-,1,-,-
2733,2,5,6,1,4,1,1,1001,201,-,1,-,-
5,2,8,7,1,4,1,1,1001,201,-,1,-,-
8,4,6,8,1,4,1,1,1001,201,-,1,-,-
13,6,7,9,1,4,1,1,1001,201,-,1,-,-
8,6,13,10,1,4,1,1,1001,201,-,1,-,-
13,7,2734,11,1,4,1,1,1001,201,-,1,-,-
2840,2734,9,12,1,4,1,1,1001,201,-,1,-,-
13,2734,2840,13,1,4,1,1,1001,201,-,1,-,-
2840,9,10,14,1,4,1,1,1001,201,-,1,-,-
2840,10,11,15,1,4,1,1,1001,201,-,1,-,-
14,11,12,16,1,4,1,1,1001,201,-,1,-,-
102,11,14,17,1,4,1,1,1001,201,-,1,-,-
2840,11,102,18,1,4,1,1,1001,201,-,1,-,-
2863,14,15,19,1,4,1,1,1001,201,-,1,-,-
2984,14,2863,20,1,4,1,1,1001,201,-,1,-,-
25,14,2984,21,1,4,1,1,1001,201,-,1,-,-
3100,14,25,22,1,4,1,1,1001,201,-,1,-,-
33,14,3100,23,1,4,1,1,1001,201,-,1,-,-
34,14,33,24,1,4,1,1,1001,201,-,1,-,-
3313,14,34,25,1,4,1,1,1001,201,-,1,-,-
102,14,3313,26,1,4,1,1,1001,201,-,1,-,-
16,2840,102,27,1,4,1,1,1001,201,-,1,-,-
2863,15,2841,28,1,4,1,1,1001,201,-,1,-,-
17,16,102,29,1,4,1,1,1001,201,-,1,-,-
23,2863,2919,30,1,4,1,1,1001,201,-,1,-,-
2984,2863,23,31,1,4,1,1,1001,201,-,1,-,-
2917,17,102,32,1,4,1,1,1001,201,-,1,-,-
2918,2917,102,33,1,4,1,1,1001,201,-,1,-,-
