PID1,PID2,PID3,TRIANGLE,GROUP,COLOUR,SURFACE,INSIDE,LSTYLE,SYMBOL,Elevatio,PHAS_ST,LINK,PIT,TOPO
2,1,14,1,1,4,0,0,1001,201,0,1,1,-,-
14,1,3,2,1,4,0,0,1001,201,0,1,1,-,-
4,2,5,3,1,4,0,0,1001,201,0,1,1,-,-
5,2,11,4,1,4,0,0,1001,201,0,1,1,-,-
11,2,14,5,1,4,0,0,1001,201,0,1,1,-,-
8,3,6,6,1,4,0,0,1001,201,0,1,1,-,-
13,3,8,7,1,4,0,0,1001,201,0,1,1,-,-
14,3,13,8,1,4,0,0,1001,201,0,1,1,-,-
7,5,11,9,1,4,0,0,1001,201,0,1,1,-,-
9,7,11,10,1,4,0,0,1001,201,0,1,1,-,-
13,8,10,11,1,4,0,0,1001,201,0,1,1,-,-
13,10,12,12,1,4,0,0,1001,201,0,1,1,-,-
16,15,22,13,2,4,1,1,1001,201,0,1,1,-,-
22,15,17,14,2,4,1,1,1001,201,0,1,1,-,-
18,16,22,15,2,4,1,1,1001,201,0,1,1,-,-
22,17,19,16,2,4,1,1,1001,201,0,1,1,-,-
20,18,22,17,2,4,1,1,1001,201,0,1,1,-,-
22,19,23,18,2,4,1,1,1001,201,0,1,1,-,-
21,20,22,19,2,4,1,1,1001,201,0,1,1,-,-
29,21,22,20,2,4,1,1,1001,201,0,1,1,-,-
24,22,23,21,2,4,1,1,1001,201,0,1,1,-,-
25,22,24,22,2,4,1,1,1001,201,0,1,1,-,-
26,22,25,23,2,4,1,1,1001,201,0,1,1,-,-
27,22,26,24,2,4,1,1,1001,201,0,1,1,-,-
28,22,27,25,2,4,1,1,1001,201,0,1,1,-,-
30,22,28,26,2,4,1,1,1001,201,0,1,1,-,-
29,22,31,27,2,4,1,1,1001,201,0,1,1,-,-
31,22,30,28,2,4,1,1,1001,201,0,1,1,-,-
37,32,33,29,3,4,2,1,1001,201,0,1,1,-,-
34,32,37,30,3,4,2,1,1001,201,0,1,1,-,-
35,34,36,31,3,4,2,1,1001,201,0,1,1,-,-
36,34,38,32,3,4,2,1,1001,201,0,1,1,-,-
45,34,37,33,3,4,2,1,1001,201,0,1,1,-,-
38,34,43,34,3,4,2,1,1001,201,0,1,1,-,-
43,34,57,35,3,4,2,1,1001,201,0,1,1,-,-
52,34,45,36,3,4,2,1,1001,201,0,1,1,-,-
374,34,52,37,3,4,2,1,1001,201,0,1,1,-,-
57,34,61,38,3,4,2,1,1001,201,0,1,1,-,-
61,34,374,39,3,4,2,1,1001,201,0,1,1,-,-
45,37,39,40,3,4,2,1,1001,201,0,1,1,-,-
42,40,41,41,3,4,2,1,1001,201,0,1,1,-,-
42,41,44,42,3,4,2,1,1001,201,0,1,1,-,-
46,42,44,43,3,4,2,1,1001,201,0,1,1,-,-
48,43,57,44,3,4,2,1,1001,201,0,1,1,-,-
46,44,50,45,3,4,2,1,1001,201,0,1,1,-,-
50,44,47,46,3,4,2,1,1001,201,0,1,1,-,-
49,46,50,47,3,4,2,1,1001,201,0,1,1,-,-
51,48,57,48,3,4,2,1,1001,201,0,1,1,-,-
58,49,50,49,3,4,2,1,1001,201,0,1,1,-,-
53,49,54,50,3,4,2,1,1001,201,0,1,1,-,-
54,49,74,51,3,4,2,1,1001,201,0,1,1,-,-
63,49,58,52,3,4,2,1,1001,201,0,1,1,-,-
74,49,63,53,3,4,2,1,1001,201,0,1,1,-,-
374,52,55,54,3,4,2,1,1001,201,0,1,1,-,-
59,55,56,55,3,4,2,1,1001,201,0,1,1,-,-
374,55,59,56,3,4,2,1,1001,201,0,1,1,-,-
374,59,60,57,3,4,2,1,1001,201,0,1,1,-,-
65,60,62,58,3,4,2,1,1001,201,0,1,1,-,-
374,60,65,59,3,4,2,1,1001,201,0,1,1,-,-
64,61,374,60,3,4,2,1,1001,201,0,1,1,-,-
74,63,83,61,3,4,2,1,1001,201,0,1,1,-,-
88,63,75,62,3,4,2,1,1001,201,0,1,1,-,-
83,63,88,63,3,4,2,1,1001,201,0,1,1,-,-
76,64,84,64,3,4,2,1,1001,201,0,1,1,-,-
84,64,374,65,3,4,2,1,1001,201,0,1,1,-,-
127,65,71,66,3,4,2,1,1001,201,0,1,1,-,-
374,65,127,67,3,4,2,1,1001,201,0,1,1,-,-
79,66,67,68,3,4,2,1,1001,201,0,1,1,-,-
68,66,149,69,3,4,2,1,1001,201,0,1,1,-,-
149,66,79,70,3,4,2,1,1001,201,0,1,1,-,-
69,68,70,71,3,4,2,1,1001,201,0,1,1,-,-
70,68,205,72,3,4,2,1,1001,201,0,1,1,-,-
205,68,149,73,3,4,2,1,1001,201,0,1,1,-,-
78,70,205,74,3,4,2,1,1001,201,0,1,1,-,-
73,71,72,75,3,4,2,1,1001,201,0,1,1,-,-
77,71,73,76,3,4,2,1,1001,201,0,1,1,-,-
117,71,77,77,3,4,2,1,1001,201,0,1,1,-,-
127,71,117,78,3,4,2,1,1001,201,0,1,1,-,-
80,74,83,79,3,4,2,1,1001,201,0,1,1,-,-
88,75,82,80,3,4,2,1,1001,201,0,1,1,-,-
86,77,85,81,3,4,2,1,1001,201,0,1,1,-,-
103,77,86,82,3,4,2,1,1001,201,0,1,1,-,-
111,77,103,83,3,4,2,1,1001,201,0,1,1,-,-
117,77,111,84,3,4,2,1,1001,201,0,1,1,-,-
87,78,90,85,3,4,2,1,1001,201,0,1,1,-,-
90,78,98,86,3,4,2,1,1001,201,0,1,1,-,-
98,78,118,87,3,4,2,1,1001,201,0,1,1,-,-
118,78,205,88,3,4,2,1,1001,201,0,1,1,-,-
149,79,94,89,3,4,2,1,1001,201,0,1,1,-,-
82,81,84,90,3,4,2,1,1001,201,0,1,1,-,-
374,82,84,91,3,4,2,1,1001,201,0,1,1,-,-
88,82,91,92,3,4,2,1,1001,201,0,1,1,-,-
91,82,92,93,3,4,2,1,1001,201,0,1,1,-,-
92,82,374,94,3,4,2,1,1001,201,0,1,1,-,-
97,86,89,95,3,4,2,1,1001,201,0,1,1,-,-
103,86,97,96,3,4,2,1,1001,201,0,1,1,-,-
93,90,98,97,3,4,2,1,1001,201,0,1,1,-,-
96,92,104,98,3,4,2,1,1001,201,0,1,1,-,-
104,92,374,99,3,4,2,1,1001,201,0,1,1,-,-
99,94,95,100,3,4,2,1,1001,201,0,1,1,-,-
149,94,99,101,3,4,2,1,1001,201,0,1,1,-,-
103,97,101,102,3,4,2,1,1001,201,0,1,1,-,-
102,98,118,103,3,4,2,1,1001,201,0,1,1,-,-
149,99,100,104,3,4,2,1,1001,201,0,1,1,-,-
149,100,108,105,3,4,2,1,1001,201,0,1,1,-,-
113,102,118,106,3,4,2,1,1001,201,0,1,1,-,-
105,104,374,107,3,4,2,1,1001,201,0,1,1,-,-
106,105,374,108,3,4,2,1,1001,201,0,1,1,-,-
107,106,374,109,3,4,2,1,1001,201,0,1,1,-,-
109,107,211,110,3,4,2,1,1001,201,0,1,1,-,-
211,107,374,111,3,4,2,1,1001,201,0,1,1,-,-
149,108,119,112,3,4,2,1,1001,201,0,1,1,-,-
110,109,211,113,3,4,2,1,1001,201,0,1,1,-,-
112,110,211,114,3,4,2,1,1001,201,0,1,1,-,-
114,112,211,115,3,4,2,1,1001,201,0,1,1,-,-
115,114,116,116,3,4,2,1,1001,201,0,1,1,-,-
116,114,211,117,3,4,2,1,1001,201,0,1,1,-,-
122,116,211,118,3,4,2,1,1001,201,0,1,1,-,-
120,118,205,119,3,4,2,1,1001,201,0,1,1,-,-
149,119,121,120,3,4,2,1,1001,201,0,1,1,-,-
147,120,205,121,3,4,2,1,1001,201,0,1,1,-,-
149,121,123,122,3,4,2,1,1001,201,0,1,1,-,-
124,122,211,123,3,4,2,1,1001,201,0,1,1,-,-
149,123,128,124,3,4,2,1,1001,201,0,1,1,-,-
142,124,211,125,3,4,2,1,1001,201,0,1,1,-,-
126,125,229,126,3,4,2,1,1001,201,0,1,1,-,-
197,125,129,127,3,4,2,1,1001,201,0,1,1,-,-
229,125,197,128,3,4,2,1,1001,201,0,1,1,-,-
150,126,229,129,3,4,2,1,1001,201,0,1,1,-,-
189,127,166,130,3,4,2,1,1001,201,0,1,1,-,-
