XP,YP,ZP,PID
5393.33234213,10799.61106043,2120,1
5396.21960284,10799.27029595,2120,2
5397.86725456,10797.86725456,2119.51725777,3
5398.23420382,10797.74086167,2119.50246191,4
5398.94825141,10798.94825141,2120,5
5399.04480636,10798.92574403,2120,6
5400,10794.6788215,2118.54260482,7
5400,10798.70308418,2120,8
5401.77238442,10791.77238442,2117.76119361,9
5402.93761806,10790,2117.39831322,10
5405.63896511,10785.63896511,2116.28227194,11
5406.11836318,10796.11836318,2120,12
5406.87287616,10783.74575233,2115.88016788,13
5409.73184449,10779.73184449,2115.35462042,14
5410,10790,2118.72094727,15
5410,10793.90114953,2120,16
5411.41414791,10777.60943194,2115.30637156,17
5413.14465786,10791.57232893,2120,18
5413.42325075,10791.14108358,2120,19
5414.04711133,10774.04711133,2114.96871112,20
5416.63293435,10771.0886229,2115.22564679,21
5417.63813432,10787.63813432,2120,22
5418.68563775,10768.68563775,2115.3702715,23
5420.86321049,10783.908807,2120,24
5422.43428494,10782.43428494,2120,25
5425.77803541,10777.18535694,2120,26
5426.35074999,10776.35074999,2120,27
5430,10756.55111301,2117.37773146,28
5430,10769.29126639,2120,29
5432.0862935,10765.43368542,2120,30
5440.6695903,10744.89571071,2119.03933116,31
5441.78555729,10747.49963367,2120,32
5443.17490348,10742.22432433,2119.50076681,33
5443.4538533,10744.17697312,2120,34
5448.24642446,10736.41759946,2120,35
4710.24169922,10010.24169922,2027.87194824,36
4710.24169922,10013.15429688,2028.21710205,37
4710.24169922,10020.58105469,2028.91015625,38
4710.24169922,10030.04882813,2029.41278076,39
4710.24169922,10040.0012207,2029.60092163,40
4710.24169922,10050,2029.63632202,41
4710.24169922,10060,2029.63510132,42
4710.24169922,10070,2029.62289429,43
4710.24169922,10080,2029.5887146,44
4710.24169922,10100,2029.46374512,45
4710.24169922,10110,2029.4387207,46
4710.24169922,10120,2029.46176147,47
4710.24169922,10130,2029.48693848,48
4710.24169922,10140,2029.3039856,49
4710.24169922,10150,2028.48764038,50
4710.24169922,10160,2026.74386597,51
4710.24169922,10170,2024.44329834,52
4710.24169922,10180,2022.48605347,53
4710.24169922,10190,2021.43243408,54
4710.24169922,10200,2021.18249512,55
4710.24169922,10210,2021.59188843,56
