PID1,PID2,PID3,TRIANGLE,GROUP,COLOUR,SURFACE,INSIDE,PIT,TOPO,LSTYLE,SYMBOL,PHAS_ST,LINK
3,1,2,1,1,-,0,1,1,1,1001,201,1,-
3,2,5,2,1,-,0,1,1,1,1001,201,1,-
4,3,5,3,1,-,0,1,1,1,1001,201,1,-
6,4,5,4,1,-,0,1,1,1,1001,201,1,-
7,4,6,5,1,-,0,1,1,1,1001,201,1,-
7,6,8,6,1,-,0,1,1,1,1001,201,1,-
9,7,8,7,1,-,0,1,1,1,1001,201,1,-
9,8,12,8,1,-,0,1,1,1,1001,201,1,-
10,9,12,9,1,-,0,1,1,1,1001,201,1,-
11,10,15,10,1,-,0,1,1,1,1001,201,1,-
15,10,12,11,1,-,0,1,1,1,1001,201,1,-
13,11,15,12,1,-,0,1,1,1,1001,201,1,-
15,12,16,13,1,-,0,1,1,1,1001,201,1,-
14,13,15,14,1,-,0,1,1,1,1001,201,1,-
19,14,15,15,1,-,0,1,1,1,1001,201,1,-
17,14,22,16,1,-,0,1,1,1,1001,201,1,-
22,14,19,17,1,-,0,1,1,1,1001,201,1,-
18,15,16,18,1,-,0,1,1,1,1001,201,1,-
19,15,18,19,1,-,0,1,1,1,1001,201,1,-
20,17,24,20,1,-,0,1,1,1,1001,201,1,-
24,17,22,21,1,-,0,1,1,1,1001,201,1,-
21,20,26,22,1,-,0,1,1,1,1001,201,1,-
25,20,24,23,1,-,0,1,1,1,1001,201,1,-
26,20,25,24,1,-,0,1,1,1,1001,201,1,-
23,21,27,25,1,-,0,1,1,1,1001,201,1,-
27,21,26,26,1,-,0,1,1,1,1001,201,1,-
29,23,27,27,1,-,0,1,1,1,1001,201,1,-
28,23,29,28,1,-,0,1,1,1,1001,201,1,-
30,28,29,29,1,-,0,1,1,1,1001,201,1,-
32,28,30,30,1,-,0,1,1,1,1001,201,1,-
31,28,32,31,1,-,0,1,1,1,1001,201,1,-
34,31,32,32,1,-,0,1,1,1,1001,201,1,-
33,31,34,33,1,-,0,1,1,1,1001,201,1,-
35,33,34,34,1,-,0,1,1,1,1001,201,1,-
38,36,37,35,2,-,1,1,1,1,1001,201,1,-
263,36,38,36,2,-,1,1,1,1,1001,201,1,-
264,38,39,37,2,-,1,1,1,1,1001,201,1,-
263,38,264,38,2,-,1,1,1,1,1001,201,1,-
264,39,40,39,2,-,1,1,1,1,1001,201,1,-
265,40,41,40,2,-,1,1,1,1,1001,201,1,-
264,40,265,41,2,-,1,1,1,1,1001,201,1,-
265,41,42,42,2,-,1,1,1,1,1001,201,1,-
265,42,43,43,2,-,1,1,1,1,1001,201,1,-
265,43,44,44,2,-,1,1,1,1,1001,201,1,-
187,44,45,45,2,-,1,1,1,1,1001,201,1,-
334,44,187,46,2,-,1,1,1,1,1001,201,1,-
265,44,266,47,2,-,1,1,1,1,1001,201,1,-
266,44,334,48,2,-,1,1,1,1,1001,201,1,-
240,45,46,49,2,-,1,1,1,1,1001,201,1,-
187,45,188,50,2,-,1,1,1,1,1001,201,1,-
188,45,240,51,2,-,1,1,1,1,1001,201,1,-
240,46,47,52,2,-,1,1,1,1,1001,201,1,-
189,47,48,53,2,-,1,1,1,1,1001,201,1,-
241,47,189,54,2,-,1,1,1,1,1001,201,1,-
240,47,241,55,2,-,1,1,1,1,1001,201,1,-
190,48,49,56,2,-,1,1,1,1,1001,201,1,-
189,48,190,57,2,-,1,1,1,1,1001,201,1,-
159,49,50,58,2,-,1,1,1,1,1001,201,1,-
191,49,159,59,2,-,1,1,1,1,1001,201,1,-
190,49,191,60,2,-,1,1,1,1,1001,201,1,-
159,50,51,61,2,-,1,1,1,1,1001,201,1,-
160,51,52,62,2,-,1,1,1,1,1001,201,1,-
159,51,192,63,2,-,1,1,1,1,1001,201,1,-
177,51,160,64,2,-,1,1,1,1,1001,201,1,-
192,51,177,65,2,-,1,1,1,1,1001,201,1,-
160,52,53,66,2,-,1,1,1,1,1001,201,1,-
152,53,54,67,2,-,1,1,1,1,1001,201,1,-
160,53,152,68,2,-,1,1,1,1,1001,201,1,-
195,54,55,69,2,-,1,1,1,1,1001,201,1,-
152,54,194,70,2,-,1,1,1,1,1001,201,1,-
194,54,195,71,2,-,1,1,1,1,1001,201,1,-
243,55,56,72,2,-,1,1,1,1,1001,201,1,-
195,55,243,73,2,-,1,1,1,1,1001,201,1,-
161,56,57,74,2,-,1,1,1,1,1001,201,1,-
244,56,161,75,2,-,1,1,1,1,1001,201,1,-
243,56,244,76,2,-,1,1,1,1,1001,201,1,-
161,57,58,77,2,-,1,1,1,1,1001,201,1,-
162,58,59,78,2,-,1,1,1,1,1001,201,1,-
161,58,162,79,2,-,1,1,1,1,1001,201,1,-
245,59,60,80,2,-,1,1,1,1,1001,201,1,-
162,59,197,81,2,-,1,1,1,1,1001,201,1,-
197,59,245,82,2,-,1,1,1,1,1001,201,1,-
198,60,61,83,2,-,1,1,1,1,1001,201,1,-
245,60,198,84,2,-,1,1,1,1,1001,201,1,-
198,61,62,85,2,-,1,1,1,1,1001,201,1,-
199,62,63,86,2,-,1,1,1,1,1001,201,1,-
198,62,246,87,2,-,1,1,1,1,1001,201,1,-
279,62,199,88,2,-,1,1,1,1,1001,201,1,-
246,62,279,89,2,-,1,1,1,1,1001,201,1,-
199,63,64,90,2,-,1,1,1,1,1001,201,1,-
163,64,65,91,2,-,1,1,1,1,1001,201,1,-
199,64,163,92,2,-,1,1,1,1,1001,201,1,-
163,65,66,93,2,-,1,1,1,1,1001,201,1,-
163,66,67,94,2,-,1,1,1,1,1001,201,1,-
248,67,68,95,2,-,1,1,1,1,1001,201,1,-
163,67,201,96,2,-,1,1,1,1,1001,201,1,-
201,67,248,97,2,-,1,1,1,1,1001,201,1,-
153,68,69,98,2,-,1,1,1,1,1001,201,1,-
164,68,153,99,2,-,1,1,1,1,1001,201,1,-
203,68,164,100,2,-,1,1,1,1,1001,201,1,-
202,68,203,101,2,-,1,1,1,1,1001,201,1,-
248,68,202,102,2,-,1,1,1,1,1001,201,1,-
165,69,70,103,2,-,1,1,1,1,1001,201,1,-
153,69,164,104,2,-,1,1,1,1,1001,201,1,-
164,69,165,105,2,-,1,1,1,1,1001,201,1,-
166,70,71,106,2,-,1,1,1,1,1001,201,1,-
165,70,166,107,2,-,1,1,1,1,1001,201,1,-
166,71,72,108,2,-,1,1,1,1,1001,201,1,-
154,72,73,109,2,-,1,1,1,1,1001,201,1,-
167,72,154,110,2,-,1,1,1,1,1001,201,1,-
166,72,206,111,2,-,1,1,1,1,1001,201,1,-
178,72,167,112,2,-,1,1,1,1,1001,201,1,-
206,72,178,113,2,-,1,1,1,1,1001,201,1,-
155,73,74,114,2,-,1,1,1,1,1001,201,1,-
154,73,167,115,2,-,1,1,1,1,1001,201,1,-
167,73,155,116,2,-,1,1,1,1,1001,201,1,-
168,74,75,117,2,-,1,1,1,1,1001,201,1,-
155,74,168,118,2,-,1,1,1,1,1001,201,1,-
208,75,76,119,2,-,1,1,1,1,1001,201,1,-
168,75,208,120,2,-,1,1,1,1,1001,201,1,-
180,76,77,121,2,-,1,1,1,1,1001,201,1,-
208,76,180,122,2,-,1,1,1,1,1001,201,1,-
169,77,78,123,2,-,1,1,1,1,1001,201,1,-
181,77,169,124,2,-,1,1,1,1,1001,201,1,-
180,77,181,125,2,-,1,1,1,1,1001,201,1,-
156,78,79,126,2,-,1,1,1,1,1001,201,1,-
169,78,156,127,2,-,1,1,1,1,1001,201,1,-
157,79,80,128,2,-,1,1,1,1,1001,201,1,-
156,79,170,129,2,-,1,1,1,1,1001,201,1,-
170,79,157,130,2,-,1,1,1,1,1001,201,1,-
172,80,81,131,2,-,1,1,1,1,1001,201,1,-
157,80,171,132,2,-,1,1,1,1,1001,201,1,-
171,80,172,133,2,-,1,1,1,1,1001,201,1,-
173,81,82,134,2,-,1,1,1,1,1001,201,1,-
172,81,173,135,2,-,1,1,1,1,1001,201,1,-
158,82,83,136,2,-,1,1,1,1,1001,201,1,-
173,82,158,137,2,-,1,1,1,1,1001,201,1,-
253,83,84,138,2,-,1,1,1,1,1001,201,1,-
158,83,173,139,2,-,1,1,1,1,1001,201,1,-
173,83,182,140,2,-,1,1,1,1,1001,201,1,-
182,83,213,141,2,-,1,1,1,1,1001,201,1,-
213,83,253,142,2,-,1,1,1,1,1001,201,1,-
253,84,85,143,2,-,1,1,1,1,1001,201,1,-
253,85,86,144,2,-,1,1,1,1,1001,201,1,-
254,86,87,145,2,-,1,1,1,1,1001,201,1,-
253,86,351,146,2,-,1,1,1,1,1001,201,1,-
351,86,254,147,2,-,1,1,1,1,1001,201,1,-
254,87,88,148,2,-,1,1,1,1,1001,201,1,-
295,88,89,149,2,-,1,1,1,1,1001,201,1,-
254,88,295,150,2,-,1,1,1,1,1001,201,1,-
295,89,90,151,2,-,1,1,1,1,1001,201,1,-
214,90,91,152,2,-,1,1,1,1,1001,201,1,-
352,90,214,153,2,-,1,1,1,1,1001,201,1,-
295,90,352,154,2,-,1,1,1,1,1001,201,1,-
215,91,92,155,2,-,1,1,1,1,1001,201,1,-
214,91,439,156,2,-,1,1,1,1,1001,201,1,-
440,91,215,157,2,-,1,1,1,1,1001,201,1,-
439,91,440,158,2,-,1,1,1,1,1001,201,1,-
215,92,93,159,2,-,1,1,1,1,1001,201,1,-
216,93,94,160,2,-,1,1,1,1,1001,201,1,-
215,93,353,161,2,-,1,1,1,1,1001,201,1,-
353,93,216,162,2,-,1,1,1,1,1001,201,1,-
216,94,95,163,2,-,1,1,1,1,1001,201,1,-
217,95,96,164,2,-,1,1,1,1,1001,201,1,-
216,95,217,165,2,-,1,1,1,1,1001,201,1,-
255,96,97,166,2,-,1,1,1,1,1001,201,1,-
217,96,255,167,2,-,1,1,1,1,1001,201,1,-
255,97,98,168,2,-,1,1,1,1,1001,201,1,-
255,98,99,169,2,-,1,1,1,1,1001,201,1,-
256,99,100,170,2,-,1,1,1,1,1001,201,1,-
255,99,256,171,2,-,1,1,1,1,1001,201,1,-
174,100,101,172,2,-,1,1,1,1,1001,201,1,-
183,100,174,173,2,-,1,1,1,1,1001,201,1,-
218,100,183,174,2,-,1,1,1,1,1001,201,1,-
256,100,218,175,2,-,1,1,1,1,1001,201,1,-
174,101,102,176,2,-,1,1,1,1,1001,201,1,-
185,102,103,177,2,-,1,1,1,1,1001,201,1,-
174,102,184,178,2,-,1,1,1,1,1001,201,1,-
184,102,220,179,2,-,1,1,1,1,1001,201,1,-
220,102,185,180,2,-,1,1,1,1,1001,201,1,-
185,103,104,181,2,-,1,1,1,1,1001,201,1,-
221,104,105,182,2,-,1,1,1,1,1001,201,1,-
185,104,221,183,2,-,1,1,1,1,1001,201,1,-
222,105,106,184,2,-,1,1,1,1,1001,201,1,-
221,105,260,185,2,-,1,1,1,1,1001,201,1,-
260,105,222,186,2,-,1,1,1,1,1001,201,1,-
