XP,YP,ZP,PID
4710.71777344,10185,2021.77575684,1
4710.71777344,10345,2072.21795654,2
4710.71777344,10385,2075.48181152,3
4710.71777344,10395,2073.94540405,4
4710.71777344,10445,2059.22570801,5
4710.71777344,10455,2058.88223267,6
4710.71777344,10485,2067.29928589,7
4716.31347656,10165,2024.21502686,8
4716.31347656,10385,2078.32345581,9
4716.31347656,10395,2076.73608398,10
4716.31347656,10425,2066.84274292,11
4716.31347656,10435,2063.87124634,12
4716.31347656,10485,2066.70571899,13
4716.31347656,10665,2136.3062439,14
4716.31347656,10675,2138.17483521,15
4716.31347656,10685,2138.88665771,16
4716.31347656,11095,2246.12786865,17
4725.15136719,10105,2021.54107666,18
4725.15136719,10115,2021.60150146,19
4725.15136719,10155,2023.16674805,20
4725.15136719,10195,2021.58059692,21
4725.15136719,10205,2022.53244019,22
4725.15136719,10235,2031.92300415,23
4725.15136719,10285,2054.21365356,24
4725.15136719,10315,2066.19042969,25
4725.15136719,10325,2069.97583008,26
4725.15136719,10365,2082.79153442,27
4725.15136719,10425,2071.7421875,28
4725.15136719,10455,2063.68478394,29
4725.15136719,10485,2065.98138428,30
4725.15136719,10505,2076.67337036,31
4725.15136719,10525,2087.80831909,32
4725.15136719,10635,2124.09402466,33
4725.15136719,10655,2130.46655273,34
4725.15136719,10665,2133.23098755,35
4725.15136719,10675,2135.17022705,36
4725.15136719,10685,2135.84222412,37
4725.15136719,10695,2135.32296753,38
4725.15136719,11005,2206.29022217,39
4725.15136719,11055,2228.65228271,40
4735.00488281,10075,2018.69943237,41
4735.00488281,10085,2017.98883057,42
4735.00488281,10095,2017.42807007,43
4735.00488281,10105,2017.21841431,44
4735.00488281,10115,2017.48788452,45
4735.00488281,10125,2018.22747803,46
4735.00488281,10135,2019.28369141,47
4735.00488281,10145,2020.34265137,48
4735.00488281,10195,2022.70272827,49
4735.00488281,10205,2024.24554443,50
4735.00488281,10325,2074.29864502,51
4735.00488281,10345,2082.77734375,52
4735.00488281,10355,2085.93179321,53
4735.00488281,10365,2087.66748047,54
4735.00488281,10375,2088.20809937,55
4735.00488281,10435,2074.35891724,56
4735.00488281,10445,2070.81292725,57
4735.00488281,10455,2067.30233765,58
4735.00488281,10475,2063.68692017,59
4735.00488281,10485,2065.51004028,60
4735.00488281,10505,2074.94195557,61
4735.00488281,10535,2090.01000977,62
4735.00488281,10595,2106.28030396,63
4735.00488281,10635,2120.43374634,64
4735.00488281,10655,2126.53161621,65
4735.00488281,10665,2129.1199646,66
4735.00488281,10675,2130.91394043,67
4735.00488281,10685,2131.37521362,68
4735.00488281,10845,2140.39193726,69
4735.00488281,11055,2226.11642456,70
4735.00488281,11095,2242.76269531,71
4735.00488281,11145,2258.83615112,72
4745,10016.31347656,2014.79318237,73
4745,10025.15136719,2015.14459229,74
4745,10035.00488281,2015.74594116,75
4745,10075,2015.18823242,76
4745,10085,2014.93569946,77
4745,10095,2015.11056519,78
4745,10105,2015.62417603,79
4745,10115,2016.32699585,80
4745,10125,2017.16790771,81
4745,10135,2018.19665527,82
4745,10145,2019.36914063,83
4745,10155,2020.53231812,84
4745,10195,2024.92318726,85
4745,10205,2026.90255737,86
4745,10215,2030.27825928,87
4745,10315,2075.34890747,88
4745,10345,2087.45141602,89
4745,10355,2090.51553345,90
4745,10365,2092.2588501,91
4745,10375,2092.92199707,92
4745,10385,2092.84570313,93
4745,10445,2076.0958252,94
4745,10475,2064.73443604,95
4745,10485,2065.40307617,96
4745,10545,2090.73922729,97
4745,10555,2093.83203125,98
4745,10595,2102.03820801,99
4745,10635,2116.21408081,100
4745,10655,2122.02294922,101
4745,10665,2124.41644287,102
4745,10675,2126.00839233,103
4745,10685,2126.22109985,104
4745,10725,2120.91714478,105
4745,10735,2120.74884033,106
4745,10785,2124.46221924,107
4745,10795,2125.3699646,108
4745,10805,2126.84014893,109
4745,10815,2128.89169312,110
4745,11015,2203.34588623,111
4745,11025,2208.34130859,112
4745,11055,2223.08206177,113
4745,11135,2254.97674561,114
4755,10025.15136719,2012.38442993,115
4755,10035.00488281,2012.90200806,116
4755,10065,2013.40570068,117
4755,10075,2013.4697876,118
4755,10085,2014.19992065,119
4755,10125,2019.2434082,120
4755,10135,2019.98208618,121
4755,10145,2020.82315063,122
4755,10155,2021.88653564,123
4755,10165,2023.24029541,124
4755,10195,2027.91925049,125
4755,10205,2030.03884888,126
4755,10215,2033.51815796,127
4755,10265,2058.64801025,128
4755,10345,2091.16067505,129
4755,10355,2093.68432617,130
4755,10365,2095.36157227,131
4755,10375,2096.41641235,132
4755,10415,2093.76885986,133
4755,10425,2090.57580566,134
4755,10465,2070.31610107,135
4755,10475,2066.65368652,136
4755,10485,2065.91668701,137
4755,10525,2079.85650635,138
4755,10585,2095.63653564,139
4755,10635,2111.50033569,140
4755,10645,2114.49990845,141
4755,10675,2120.96078491,142
4755,10685,2121.0201416,143
4755,10715,2116.04135132,144
4755,10725,2115.01626587,145
4755,10735,2114.9932251,146
4755,10745,2115.92965698,147
4755,10775,2118.93701172,148
4755,10785,2119.59420776,149
4755,10795,2120.77798462,150
4755,10805,2122.67556763,151
4755,10815,2125.07836914,152
4765,10035.00488281,2011.06881714,153
4765,10065,2012.9229126,154
4765,10075,2013.91061401,155
4765,10085,2015.63272095,156
4765,10105,2020.24926758,157
4765,10145,2024.20114136,158
4765,10155,2024.94500732,159
4765,10165,2026.17150879,160
4765,10175,2027.85409546,161
4765,10205,2033.27401733,162
4765,10215,2036.59341431,163
4765,10355,2093.75146484,164
4765,10365,2095.35028076,165
4765,10385,2099.59466553,166
4765,10415,2099.79623413,167
4765,10425,2096.68069458,168
4765,10435,2092.37710571,169
4765,10445,2087.07757568,170
4765,10465,2074.87008667,171
4765,10475,2070.03030396,172
4765,10485,2067.72546387,173
4765,10495,2068.13729858,174
4765,10525,2077.07040405,175
4765,10535,2080.49127197,176
4765,10665,2114.45504761,177
4765,10675,2115.93255615,178
4765,10685,2115.95407104,179
4765,10705,2112.57836914,180
4765,10715,2110.8538208,181
4765,10725,2109.98590088,182
4765,10735,2110.26010132,183
4765,10745,2111.53939819,184
4765,10755,2113.18795776,185
4765,10765,2114.52340698,186
4765,10775,2115.45602417,187
4765,10785,2116.48217773,188
4765,10795,2118.08450317,189
4765,10805,2120.2741394,190
4765,10815,2122.67800903,191
4765,10845,2128.62588501,192
4765,10855,2130.45144653,193
4765,10865,2132.42776489,194
4765,10905,2141.54946899,195
4765,10915,2144.87115479,196
4765,10925,2148.97485352,197
4765,11045,2211.56304932,198
4765,11125,2248.17605591,199
4765,11135,2251.69976807,200
4775,10010.71777344,2008.90618896,201
4775,10016.31347656,2009.04428101,202
4775,10025.15136719,2009.46206665,203
4775,10035.00488281,2010.34127808,204
4775,10075,2016.27008057,205
4775,10085,2018.60513306,206
4775,10155,2029.26095581,207
4775,10165,2030.20715332,208
4775,10175,2031.66116333,209
4775,10195,2034.97186279,210
4775,10205,2036.97900391,211
4775,10215,2040.03411865,212
4775,10225,2044.38790894,213
4775,10235,2049.64501953,214
4775,10305,2087.32278442,215
4775,10315,2090.53689575,216
4775,10335,2091.86608887,217
4775,10345,2090.58282471,218
4775,10365,2091.87554932,219
4775,10375,2095.83093262,220
4775,10385,2100.63729858,221
4775,10405,2106.27389526,222
4775,10415,2105.39529419,223
4775,10425,2102.27944946,224
4775,10435,2097.69113159,225
4775,10445,2092.32034302,226
4775,10475,2074.98712158,227
4775,10485,2071.35873413,228
4775,10495,2070.06646729,229
4775,10565,2084.49807739,230
4775,10575,2086.05447388,231
4775,10585,2087.64810181,232
4775,10595,2089.54522705,233
4775,10605,2091.88973999,234
