PID1,PID2,PID3,TRIANGLE,SURFACE,PIT,TOPO
2905,2906,3008,1,1,1,1
2906,2907,3008,2,1,1,1
2907,2908,3009,3,1,1,1
2909,3009,2908,4,1,1,1
2909,1,3009,5,1,1,1
1,2909,2910,6,1,1,1
2913,3010,2912,7,1,1,1
2914,3010,2913,8,1,1,1
2914,3011,3010,9,1,1,1
2915,3011,2914,10,1,1,1
2921,3012,2920,11,1,1,1
2922,3012,2921,12,1,1,1
2922,2923,3012,13,1,1,1
2,3013,2924,14,1,1,1
2,2925,3013,15,1,1,1
2,2924,2925,16,1,1,1
2925,3014,3013,17,1,1,1
2925,2926,3014,18,1,1,1
2926,3015,3014,19,1,1,1
2926,2927,3015,20,1,1,1
2927,2928,3015,21,1,1,1
3,3016,2928,22,1,1,1
3,2929,3016,23,1,1,1
3,2928,2929,24,1,1,1
4,3016,2929,25,1,1,1
4,3017,3016,26,1,1,1
4,2930,3017,27,1,1,1
4,2929,2930,28,1,1,1
2931,3017,2930,29,1,1,1
2933,2934,3018,30,1,1,1
5,3018,2934,31,1,1,1
5,3019,3018,32,1,1,1
5,2935,3019,33,1,1,1
5,2934,2935,34,1,1,1
6,3019,2935,35,1,1,1
6,3020,3019,36,1,1,1
6,2936,3020,37,1,1,1
6,2935,2936,38,1,1,1
2936,3021,3020,39,1,1,1
2936,2937,3021,40,1,1,1
2937,3022,3021,41,1,1,1
2937,2938,3022,42,1,1,1
7,3022,2938,43,1,1,1
7,2939,3022,44,1,1,1
7,2938,2939,45,1,1,1
2956,2957,3023,46,1,1,1
2957,2958,3023,47,1,1,1
2959,16,2958,48,1,1,1
2960,16,2959,49,1,1,1
2960,3060,16,50,1,1,1
2960,2961,3060,51,1,1,1
2988,3024,2987,52,1,1,1
2988,2989,3024,53,1,1,1
2990,3024,2989,54,1,1,1
2998,17,2997,55,1,1,1
2998,2999,17,56,1,1,1
3003,3004,3025,57,1,1,1
3004,3005,3025,58,1,1,1
2894,2892,2893,59,1,1,1
2895,3080,2894,60,1,1,1
2895,2896,3080,61,1,1,1
2896,3081,3080,62,1,1,1
2896,2897,3081,63,1,1,1
2898,3081,2897,64,1,1,1
2899,3081,2898,65,1,1,1
2899,2900,3081,66,1,1,1
2901,3026,2900,67,1,1,1
2901,3027,3026,68,1,1,1
2901,18,3027,69,1,1,1
2901,2902,18,70,1,1,1
2903,18,2902,71,1,1,1
2903,19,18,72,1,1,1
2903,3028,19,73,1,1,1
2903,2904,3028,74,1,1,1
2904,3029,3028,75,1,1,1
2904,2905,3029,76,1,1,1
2905,3030,3029,77,1,1,1
2905,3008,3030,78,1,1,1
3008,3031,3030,79,1,1,1
3008,2907,3031,80,1,1,1
8,3031,2907,81,1,1,1
8,3032,3031,82,1,1,1
8,3009,3032,83,1,1,1
8,2907,3009,84,1,1,1
1,3032,3009,85,1,1,1
1,3033,3032,86,1,1,1
2910,3033,1,87,1,1,1
2910,3034,3033,88,1,1,1
2911,3034,2910,89,1,1,1
2911,21,3034,90,1,1,1
2912,21,2911,91,1,1,1
2912,22,21,92,1,1,1
3010,22,2912,93,1,1,1
3010,3035,22,94,1,1,1
3011,3035,3010,95,1,1,1
3011,3036,3035,96,1,1,1
2915,3036,3011,97,1,1,1
2915,23,3036,98,1,1,1
2916,23,2915,99,1,1,1
3037,23,2916,100,1,1,1
3037,2916,2917,101,1,1,1
2919,3038,2918,102,1,1,1
2919,2920,3038,103,1,1,1
3012,3038,2920,104,1,1,1
3012,3039,3038,105,1,1,1
3012,3040,3039,106,1,1,1
3012,2923,3040,107,1,1,1
2923,26,3040,108,1,1,1
2924,26,2923,109,1,1,1
2924,3041,26,110,1,1,1
2924,3042,3041,111,1,1,1
2924,3013,3042,112,1,1,1
3013,3043,3042,113,1,1,1
3013,3014,3043,114,1,1,1
3014,3044,3043,115,1,1,1
3014,3015,3044,116,1,1,1
3015,3045,3044,117,1,1,1
3015,2928,3045,118,1,1,1
9,3045,2928,119,1,1,1
9,3046,3045,120,1,1,1
9,3016,3046,121,1,1,1
9,2928,3016,122,1,1,1
10,3046,3016,123,1,1,1
10,3016,3017,124,1,1,1
3017,3047,10,125,1,1,1
3017,2931,3047,126,1,1,1
2932,3047,2931,127,1,1,1
11,3047,2932,128,1,1,1
11,2932,2933,129,1,1,1
12,11,2933,130,1,1,1
12,2933,3018,131,1,1,1
3018,3048,12,132,1,1,1
3018,3019,3048,133,1,1,1
3019,3049,3048,134,1,1,1
3019,3020,3049,135,1,1,1
3020,3050,3049,136,1,1,1
3020,3021,3050,137,1,1,1
3021,3051,3050,138,1,1,1
3021,3022,3051,139,1,1,1
13,3051,3022,140,1,1,1
13,3052,3051,141,1,1,1
13,2939,3052,142,1,1,1
13,3022,2939,143,1,1,1
2939,31,3052,144,1,1,1
2939,2940,31,145,1,1,1
2941,31,2940,146,1,1,1
2942,31,2941,147,1,1,1
2943,32,2942,148,1,1,1
2944,32,2943,149,1,1,1
2944,3111,32,150,1,1,1
2945,3111,2944,151,1,1,1
2945,2946,3111,152,1,1,1
2947,3053,2946,153,1,1,1
2948,3054,2947,154,1,1,1
2949,3054,2948,155,1,1,1
2950,3055,2949,156,1,1,1
2951,3055,2950,157,1,1,1
2951,3056,3055,158,1,1,1
2952,3056,2951,159,1,1,1
2952,33,3056,160,1,1,1
2952,2953,33,161,1,1,1
2953,2954,33,162,1,1,1
2955,33,2954,163,1,1,1
2955,34,33,164,1,1,1
2956,34,2955,165,1,1,1
2956,3057,34,166,1,1,1
14,3057,2956,167,1,1,1
14,3058,3057,168,1,1,1
14,3023,3058,169,1,1,1
14,2956,3023,170,1,1,1
15,3058,3023,171,1,1,1
15,3059,3058,172,1,1,1
15,2958,3059,173,1,1,1
15,3023,2958,174,1,1,1
16,3059,2958,175,1,1,1
16,3060,3059,176,1,1,1
2961,38,3060,177,1,1,1
2961,3061,38,178,1,1,1
2962,3061,2961,179,1,1,1
2962,3062,3061,180,1,1,1
2962,3063,3062,181,1,1,1
2962,2963,3063,182,1,1,1
2963,3064,3063,183,1,1,1
2963,2964,3064,184,1,1,1
2964,3065,3064,185,1,1,1
2964,2965,3065,186,1,1,1
3065,2965,2966,187,1,1,1
2966,3066,3065,188,1,1,1
2966,2967,3066,189,1,1,1
2968,3066,2967,190,1,1,1
2968,3067,3066,191,1,1,1
2968,2969,3067,192,1,1,1
2969,2970,3067,193,1,1,1
2971,3067,2970,194,1,1,1
2971,3068,3067,195,1,1,1
2972,3068,2971,196,1,1,1
2972,3069,3068,197,1,1,1
2973,3069,2972,198,1,1,1
2973,3070,3069,199,1,1,1
2974,3070,2973,200,1,1,1
2974,3071,3070,201,1,1,1
2975,3071,2974,202,1,1,1
2975,3072,3071,203,1,1,1
2976,3072,2975,204,1,1,1
2976,3122,3072,205,1,1,1
2976,2977,3122,206,1,1,1
2978,3122,2977,207,1,1,1
2978,3123,3122,208,1,1,1
2978,2979,3123,209,1,1,1
2979,2980,3123,210,1,1,1
2980,3073,3123,211,1,1,1
